epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
1.04,46.008,103.59506565332413,43.5,1.0672765970230103,50.893,99.7938380241394,50.6,1.0104533433914185,59.109,87.74669206142426,57.9,0.8771892189979553
1.05,46.764,102.62959241867065,45.5,1.0453442335128784,50.591,99.80241131782532,50.9,1.0045428276062012,59.079,87.61632651090622,55.9,0.9037893414497375
1.06,46.503,103.1323471069336,47.2,1.0449175834655762,50.853,99.5944128036499,53.0,0.9991730451583862,59.292,87.71129494905472,56.9,0.8969504833221436
1.07,47.225,102.56521767377853,48.0,1.0391058921813965,50.883,99.75545078516006,50.5,1.0142526626586914,58.98,87.95629966259003,57.7,0.8829059600830078
1.08,47.156,102.68745803833008,46.6,1.036961555480957,51.404,99.06616377830505,51.5,1.0046504735946655,59.363,87.40433305501938,57.5,0.8863829374313354
1.09,46.825,102.76772832870483,45.8,1.0397090911865234,51.141,99.03839004039764,50.1,1.0005494356155396,59.493,87.02602767944336,58.7,0.8722163438796997
1.1,47.696,102.21253496408463,45.9,1.0361977815628052,50.858,99.35831505060196,49.5,1.0118385553359985,59.565,87.27864545583725,58.6,0.8850667476654053
1.11,48.009,102.06771755218506,46.8,1.0346065759658813,51.01,99.25579977035522,50.1,0.9998464584350586,59.394,87.61464530229568,59.6,0.8708789348602295
1.12,47.595,102.57731145620346,48.0,1.0391451120376587,51.548,98.71473866701126,51.5,0.9929789304733276,59.554,87.41530406475067,58.3,0.8796610832214355
1.13,48.076,101.79571461677551,47.9,1.0263303518295288,51.366,98.9465800523758,50.3,1.0025382041931152,59.405,87.50874572992325,59.3,0.8863207101821899
1.1400000000000001,47.16,102.32276540994644,45.6,1.0404912233352661,51.406,98.85670775175095,50.8,0.9934122562408447,59.421,87.39398175477982,59.4,0.8820424675941467
1.15,47.741,101.59108936786652,48.0,1.0297640562057495,51.244,99.07046914100647,51.7,0.9933993816375732,59.647,87.03690314292908,58.5,0.8783960938453674
1.16,48.304,101.57807391881943,48.8,1.0335026979446411,51.585,98.86177217960358,51.1,0.9946363568305969,59.784,86.90978211164474,57.1,0.8716197609901428
1.17,47.976,102.30224424600601,47.7,1.0426713228225708,51.739,98.4574830532074,50.4,0.9947360754013062,59.768,86.77792358398438,58.3,0.8842108249664307
1.18,48.342,101.26106011867523,47.9,1.031654715538025,51.545,98.7697588801384,50.9,0.9938931465148926,59.725,86.74003899097443,58.3,0.8816249370574951
1.19,47.292,102.207570374012,44.7,1.0478262901306152,51.472,98.80891060829163,50.1,1.0001300573349,59.497,86.96693432331085,57.0,0.8941365480422974
1.2,48.08,101.3455708026886,47.2,1.030096173286438,51.373,98.89597469568253,49.0,1.0029102563858032,59.361,87.21772766113281,56.7,0.8864029049873352
1.21,49.129,100.98108357191086,50.3,1.019589900970459,51.685,98.64523249864578,51.6,0.9941479563713074,59.85,86.69534063339233,57.3,0.8894451260566711
1.22,48.918,101.62963318824768,48.9,1.0234729051589966,51.558,98.64034104347229,51.9,0.9944009780883789,59.996,86.661003947258,57.4,0.8770379424095154
1.23,49.711,100.33617323637009,50.7,1.0085090398788452,51.563,98.6267055273056,52.3,0.9829657077789307,59.763,86.90021872520447,58.1,0.8876011371612549
1.24,49.848,100.19836747646332,48.7,1.0123826265335083,50.876,99.49006962776184,50.4,1.0051933526992798,60.207,86.4396460056305,57.4,0.892768383026123
1.25,49.682,100.44917649030685,48.2,1.0149568319320679,51.994,98.1485790014267,53.2,0.9971316456794739,60.228,86.04968839883804,58.2,0.875027060508728
1.26,49.603,100.55198466777802,47.9,1.0178192853927612,51.764,98.47540909051895,49.5,1.0063446760177612,60.056,86.25039207935333,57.9,0.8790922164916992
1.27,50.217,100.12137830257416,48.1,1.015121579170227,52.07,98.34804803133011,49.8,1.004412055015564,59.275,87.10401576757431,59.3,0.8742405772209167
1.28,50.869,99.7096256017685,49.9,1.0098072290420532,52.158,98.12224733829498,50.9,0.9950182437896729,59.653,86.522804915905,57.7,0.8853245973587036
1.29,50.404,99.7159212231636,49.4,1.0114916563034058,51.455,98.54633802175522,51.7,0.9940891265869141,60.346,85.98477977514267,58.3,0.8831233382225037
1.3,49.914,99.74605518579483,49.9,1.0106525421142578,51.645,98.52824300527573,50.2,0.9976532459259033,60.267,86.15467977523804,58.6,0.8807576298713684
