epoch,dropout_0_train_acc,dropout_0_train_loss,dropout_0_val_acc,dropout_0_val_loss,dropout_0.1_train_acc,dropout_0.1_train_loss,dropout_0.1_val_acc,dropout_0.1_val_loss,dropout_0.3_train_acc,dropout_0.3_train_loss,dropout_0.3_val_acc,dropout_0.3_val_loss,dropout_0.5_train_acc,dropout_0.5_train_loss,dropout_0.5_val_acc,dropout_0.5_val_loss,dropout_0.7_train_acc,dropout_0.7_train_loss,dropout_0.7_val_acc,dropout_0.7_val_loss,dropout_0.9_train_acc,dropout_0.9_train_loss,dropout_0.9_val_acc,dropout_0.9_val_loss
0.46,59.282,88.13619440793991,58.4,0.9008907079696655,58.633,89.18908333778381,58.4,0.909294605255127,57.302,91.01386058330536,58.0,0.9181477427482605,55.885,94.12010759115219,55.1,0.9484506845474243,51.494,99.48696637153625,52.5,0.9940950870513916,42.449,109.65866959095001,43.3,1.0967673063278198
0.47,59.657,87.59317886829376,59.1,0.8942960500717163,58.989,88.91050660610199,58.1,0.9059997797012329,57.778,90.47804743051529,58.6,0.912992537021637,55.455,94.10674089193344,55.8,0.9485611915588379,52.552,98.52374881505966,53.7,0.9872871041297913,42.259,109.62993776798248,42.6,1.0965046882629395
0.48,59.974,87.32829755544662,59.3,0.8884032368659973,59.061,88.93458634614944,58.2,0.9053343534469604,58.67,89.56681001186371,59.0,0.9062240719795227,55.917,93.7675855755806,56.6,0.9464550018310547,51.879,98.90113598108292,52.1,0.9943919777870178,42.128,109.59748148918152,42.7,1.0962024927139282
0.49,59.62,87.78149288892746,58.3,0.8919247984886169,59.144,88.6615658402443,58.3,0.9032202959060669,59.131,89.2406998872757,57.5,0.9069650769233704,56.601,93.26882493495941,57.2,0.9413412809371948,52.423,98.60609942674637,52.7,0.9916480183601379,41.014,109.5730367898941,41.6,1.095967173576355
0.5,59.646,87.5108392238617,58.8,0.8908361792564392,58.923,88.56873857975006,57.7,0.9049608111381531,59.231,89.23187559843063,58.3,0.9069823026657104,56.992,92.97498673200607,57.4,0.9379264116287231,53.719,97.87140661478043,54.5,0.9822836518287659,40.364,109.54121148586273,40.7,1.0956571102142334
0.51,60.078,86.82863855361938,60.2,0.8866264820098877,59.044,88.42952680587769,57.6,0.9049763679504395,58.986,89.49112093448639,58.0,0.9083531498908997,56.893,93.03929460048676,55.6,0.9388183951377869,53.744,98.0933523774147,54.4,0.9821127653121948,39.943,109.50677800178528,39.8,1.0953302383422852
0.52,60.342,87.0044173002243,60.0,0.8903360366821289,59.522,87.9953618645668,58.3,0.900244951248169,59.14,89.29416692256927,57.9,0.9068095684051514,56.653,93.1292793750763,55.8,0.9399658441543579,52.899,98.9695930480957,53.7,0.9895437955856323,39.775,109.46413958072662,39.7,1.0949276685714722
0.53,60.227,87.15761613845825,60.0,0.8923463225364685,59.738,87.81764894723892,58.9,0.8987869620323181,59.311,88.8380178809166,58.2,0.9013661742210388,57.136,92.69108664989471,56.5,0.935525119304657,52.84,99.09402912855148,53.8,0.991059422492981,39.811,109.4238543510437,39.7,1.0945484638214111
0.54,60.56,86.28604412078857,60.2,0.8839806914329529,59.888,87.73357671499252,58.7,0.8963916301727295,59.512,88.43228250741959,57.8,0.897208571434021,57.577,92.35157179832458,56.4,0.9316185116767883,54.259,98.08197224140167,55.4,0.9826975464820862,40.119,109.3761180639267,40.4,1.0940784215927124
0.55,59.487,87.65718197822571,57.5,0.8944830894470215,60.069,87.42762386798859,59.2,0.8950383067131042,59.128,88.48860567808151,58.3,0.8982030153274536,57.518,92.27022910118103,56.3,0.9319742918014526,55.127,97.33816957473755,55.3,0.9767762422561646,41.572,109.29632425308228,41.8,1.0932893753051758
0.56,59.836,87.12061536312103,58.1,0.8904324173927307,60.116,87.25063455104828,59.0,0.895188570022583,58.9,88.41352200508118,57.7,0.8992377519607544,57.267,92.27886724472046,57.3,0.9333477020263672,55.279,97.02804118394852,55.7,0.9749235510826111,43.579,109.18730211257935,45.2,1.0922046899795532
0.57,60.59,86.1425873041153,60.1,0.883869469165802,60.312,87.02589225769043,58.2,0.8914047479629517,59.391,87.97055667638779,57.9,0.8979045152664185,57.574,91.6794028878212,57.7,0.9289135336875916,54.831,96.9240528345108,55.0,0.9749996662139893,44.882,109.06100022792816,46.5,1.0909565687179565
0.58,60.775,86.09164190292358,60.2,0.8869616985321045,59.958,87.44118005037308,57.7,0.8932515382766724,59.621,87.8348537683487,58.8,0.8994615077972412,58.053,90.91037207841873,56.5,0.9208446145057678,54.843,96.55818390846252,55.1,0.9707791805267334,45.345,108.93794798851013,46.4,1.0897457599639893
0.59,60.953,86.1017273068428,59.0,0.8873376846313477,60.296,86.84972250461578,58.8,0.8894690871238708,60.098,87.42167282104492,58.3,0.8947172164916992,57.373,91.21187752485275,56.1,0.9229416251182556,55.106,96.3843811750412,55.5,0.9677624106407166,45.228,108.85727059841156,46.6,1.0889434814453125
0.6,61.15,85.68069249391556,58.9,0.8822104334831238,59.782,87.24317669868469,59.0,0.9001337885856628,59.92,87.67960852384567,58.1,0.8946758508682251,57.609,91.09934896230698,55.9,0.9206312298774719,55.608,96.1245738863945,56.0,0.9649576544761658,44.929,108.8060667514801,46.3,1.0884255170822144
0.61,61.09,85.40504920482635,61.0,0.8801121115684509,60.078,87.00062143802643,59.1,0.8988893628120422,59.868,87.74695187807083,58.3,0.8941293954849243,58.086,90.68776786327362,56.7,0.9158294200897217,56.004,95.85551488399506,56.5,0.9629456996917725,44.308,108.76255810260773,46.0,1.0879688262939453
0.62,60.97,85.4992390871048,60.2,0.8814499974250793,60.687,86.47705626487732,58.5,0.8897476196289062,60.408,86.8079759478569,58.9,0.8864107131958008,58.636,89.96261543035507,57.6,0.9116882681846619,55.855,95.6352368593216,55.0,0.9620426297187805,43.897,108.70086634159088,45.6,1.0873304605484009
0.63,61.515,85.08516508340836,60.5,0.8785005807876587,59.922,87.93591821193695,57.4,0.8998795747756958,60.228,86.76767981052399,58.9,0.8861778974533081,58.334,90.2675729393959,57.2,0.9174096584320068,55.431,95.64332443475723,54.0,0.9633511304855347,43.64,108.63713026046753,45.2,1.086687445640564
0.64,61.65,84.90961331129074,60.1,0.8784445524215698,60.232,87.20789021253586,57.9,0.8922430276870728,59.595,87.22242081165314,57.8,0.8910749554634094,58.541,90.05526673793793,57.4,0.9144557118415833,55.573,95.34270399808884,54.0,0.961014449596405,43.594,108.55949175357819,45.0,1.0859216451644897
0.65,61.684,84.80416256189346,60.4,0.8773709535598755,60.659,85.87637120485306,59.1,0.8838334679603577,60.09,86.81757271289825,58.0,0.8861179947853088,59.007,89.66689074039459,58.3,0.9074764847755432,56.128,94.69231832027435,55.6,0.954524576663971,43.871,108.45216798782349,45.6,1.0848321914672852
0.66,61.03,85.32590711116791,60.8,0.8854755163192749,59.523,87.41454774141312,57.8,0.9027647972106934,60.865,86.21706116199493,59.8,0.8798589706420898,58.444,90.32038462162018,56.4,0.9104260206222534,56.578,94.12599498033524,56.2,0.9485487341880798,44.096,108.36110162734985,45.6,1.083898663520813
0.67,61.664,84.73476052284241,61.7,0.8786416053771973,60.309,86.1877766251564,59.1,0.8873718976974487,60.877,86.225725710392,59.8,0.8800340294837952,58.197,90.56461423635483,56.0,0.9119288325309753,56.244,94.12704461812973,56.3,0.9482011795043945,44.464,108.2613285779953,45.7,1.0828807353973389
0.68,61.764,84.60846346616745,61.1,0.8767966628074646,61.254,85.41199833154678,59.6,0.8751457333564758,60.793,86.38804173469543,59.9,0.8819840550422668,58.977,89.54621028900146,57.7,0.9038985967636108,56.287,93.93576788902283,56.2,0.946603000164032,45.164,108.07798445224762,46.4,1.0810725688934326
0.69,61.745,84.58497101068497,60.9,0.8770666122436523,60.876,86.34221655130386,59.4,0.8819825649261475,61.007,86.11669659614563,59.5,0.8779601454734802,59.176,89.16242438554764,58.0,0.9018022418022156,56.719,93.49977385997772,56.6,0.9428166747093201,45.477,107.92561495304108,46.5,1.0795458555221558
0.7,61.431,84.96629911661148,61.5,0.8839778900146484,61.201,85.66536837816238,60.0,0.8772757053375244,61.265,85.720978140831,60.3,0.8730752468109131,59.413,88.88944911956787,58.1,0.8999949097633362,57.045,93.13936364650726,56.1,0.9404513835906982,45.707,107.80423414707184,46.4,1.0783278942108154
0.71,61.582,84.76327615976334,61.2,0.882542610168457,61.265,85.3072983622551,59.7,0.8777450323104858,61.196,85.57199949026108,60.1,0.8727204203605652,59.396,88.84349417686462,59.4,0.9013431072235107,56.957,93.00303030014038,55.8,0.9401358366012573,45.752,107.70899856090546,46.6,1.077362060546875
0.72,62.195,84.31784331798553,60.5,0.8778990507125854,60.974,85.47606366872787,59.1,0.8800640106201172,60.73,85.96187192201614,59.9,0.8785189986228943,59.48,88.67288309335709,58.4,0.9007969498634338,56.999,92.8321802020073,56.0,0.9388874173164368,46.023,107.53378617763519,46.5,1.0756239891052246
